;;Koppeling met bestandsnaam:;;75_1.1, 75_2.1, 75_3.1;;;Proefpersoon;;75
00:50:20;00:50:25;3020;;;;;;;
00:50:25;00:50:30;3025;;;;;;;
00:50:30;00:50:35;3030;;;;;;;
00:50:35;00:50:40;3035;;;;;;;
00:50:40;00:50:45;3040;;;;;;;
00:50:45;00:50:50;3045;;;;;;;
00:50:50;00:50:55;3050;;;;;;;
00:50:55;00:51:00;3055;;;;;;;
00:51:00;00:51:05;3060;;;;;;;
00:51:05;00:51:10;3065;;;;;;;
00:51:10;00:51:15;3070;;;;;;;
00:51:15;00:51:20;3075;;;;;;;
00:51:20;00:51:25;3080;;;;;;;
00:51:25;00:51:30;3085;;;;;;;
00:51:30;00:51:35;3090;;;;;;;
00:51:35;00:51:40;3095;;;;;;;
00:51:40;00:51:45;3100;;;;;;;
00:51:45;00:51:50;3105;;;;;;;
00:51:50;00:51:55;3110;;;;;;;
00:51:55;00:52:00;3115;;;;;;;
00:52:00;00:52:05;3120;;;;;;;
00:52:05;00:52:10;3125;;;;;;;
00:52:10;00:52:15;3130;;;;;;;
00:52:15;00:52:20;3135;;;;;;;
00:52:20;00:52:25;3140;;;;;;;
00:52:25;00:52:30;3145;;;;;;;
00:52:30;00:52:35;3150;;;;;;;
00:52:35;00:52:40;3155;;;;;;;
00:52:40;00:52:45;3160;;;;;;;
00:52:45;00:52:50;3165;;;;;;;
00:52:50;00:52:55;3170;;;;;;;
00:52:55;00:53:00;3175;;;;;;;
00:53:00;00:53:05;3180;;;;;;;
00:53:05;00:53:10;3185;;;;;;;
00:53:10;00:53:15;3190;;;;;;;
00:53:15;00:53:20;3195;;;;;;;
00:53:20;00:53:25;3200;;;;;;;
00:53:25;00:53:30;3205;;;;;;;
00:53:30;00:53:35;3210;;;;;;;
00:53:35;00:53:40;3215;;;;;;;
00:53:40;00:53:45;3220;;;;;;;
00:53:45;00:53:50;3225;;;;;;;
00:53:50;00:53:55;3230;;;;;;;
00:53:55;00:54:00;3235;;;;;;;
00:54:00;00:54:05;3240;;;;;;;
00:54:05;00:54:10;3245;;;;;;;
00:54:10;00:54:15;3250;;;;;;;
00:54:15;00:54:20;3255;;;;;;;
00:54:20;00:54:25;3260;;;;;;;
00:54:25;00:54:30;3265;;;;;;;
00:54:30;00:54:35;3270;;;;;;;
00:54:35;00:54:40;3275;;;;;;;
00:54:40;00:54:45;3280;;;;;;;
00:54:45;00:54:50;3285;;;;;;;
00:54:50;00:54:55;3290;;;;;;;
00:54:55;00:55:00;3295;;;;;;;
00:55:00;00:55:05;3300;;;;;;;
00:55:05;00:55:10;3305;;;;;;;
00:55:10;00:55:15;3310;;;;;;;
00:55:15;00:55:20;3315;;;;;;;
00:55:20;00:55:25;3320;;;;;;;
00:55:25;00:55:30;3325;;;;;;;
00:55:30;00:55:35;3330;;;;;;;
00:55:35;00:55:40;3335;;;;;;;
00:55:40;00:55:45;3340;;;;;;;
00:55:45;00:55:50;3345;;;;;;;
00:55:50;00:55:55;3350;;;;;;;
00:55:55;00:56:00;3355;;;;;;;
00:56:00;00:56:05;3360;;;;;;;
00:56:05;00:56:10;3365;;;;;;;
00:56:10;00:56:15;3370;;;;;;;
00:56:15;00:56:20;3375;;;;;;;
00:56:20;00:56:25;3380;;;;;;;
00:56:25;00:56:30;3385;;;;;;;
00:56:30;00:56:35;3390;;;;;;;
00:56:35;00:56:40;3395;;;;;;;
00:56:40;00:56:45;3400;;;;;;;
00:56:45;00:56:50;3405;;;;;;;
00:56:50;00:56:55;3410;;;;;;;
00:56:55;00:57:00;3415;;;;;;;
00:57:00;00:57:05;3420;;;;;;;
00:57:05;00:57:10;3425;;;;;;;
00:57:10;00:57:15;3430;;;;;;;
00:57:15;00:57:20;3435;;;;;;;
00:57:20;00:57:25;3440;;;;;;;
00:57:25;00:57:30;3445;;;;;;;
