;;Koppeling met bestandsnaam:;;006_AR.MP4;;;Proefpersoon;P006;
0:43:30;0:43:35;2610;;;;;0:36:35;0:36:40;2195
0:43:35;0:43:40;2615;;;;;0:36:40;0:36:45;2200
0:43:40;0:43:45;2620;;;;;0:36:45;0:36:50;2205
0:43:45;0:43:50;2625;;;;;0:36:50;0:36:55;2210
0:43:50;0:43:55;2630;;;;;0:36:55;0:37:00;2215
0:43:55;0:44:00;2635;;;;;0:37:00;0:37:05;2220
0:44:00;0:44:05;2640;;;;;0:37:05;0:37:10;2225
0:44:05;0:44:10;2645;;;;;0:37:10;0:37:15;2230
0:44:10;0:44:15;2650;;;;;0:37:15;0:37:20;2235
0:44:15;0:44:20;2655;;;;;0:37:20;0:37:25;2240
0:44:20;0:44:25;2660;;;;;0:37:25;0:37:30;2245
0:44:25;0:44:30;2665;;;;;0:37:30;0:37:35;2250
0:44:30;0:44:35;2670;;;;;0:37:35;0:37:40;2255
0:44:35;0:44:40;2675;;;;;0:37:40;0:37:45;2260
0:44:40;0:44:45;2680;;;;;0:37:45;0:37:50;2265
0:44:45;0:44:50;2685;;;;;0:37:50;0:37:55;2270
0:44:50;0:44:55;2690;;;;;0:37:55;0:38:00;2275
0:44:55;0:45:00;2695;;;;;0:38:00;0:38:05;2280
0:45:00;0:45:05;2700;;;;;0:38:05;0:38:10;2285
0:45:05;0:45:10;2705;;;;;0:38:10;0:38:15;2290
0:45:10;0:45:15;2710;;;;;0:38:15;0:38:20;2295
0:45:15;0:45:20;2715;;;;;0:38:20;0:38:25;2300
0:45:20;0:45:25;2720;;;;;0:38:25;0:38:30;2305
0:45:25;0:45:30;2725;;;;;0:38:30;0:38:35;2310
0:45:30;0:45:35;2730;;;;;0:38:35;0:38:40;2315
0:45:35;0:45:40;2735;;;;;0:38:40;0:38:45;2320
0:45:40;0:45:45;2740;;;;;0:38:45;0:38:50;2325
0:45:45;0:45:50;2745;;;;;0:38:50;0:38:55;2330
0:45:50;0:45:55;2750;;;;;0:38:55;0:39:00;2335
0:45:55;0:46:00;2755;;;;;0:39:00;0:39:05;2340
0:46:00;0:46:05;2760;;;;;0:39:05;0:39:10;2345
0:46:05;0:46:10;2765;;;;;0:39:10;0:39:15;2350
0:46:10;0:46:15;2770;;;;;0:39:15;0:39:20;2355
0:46:15;0:46:20;2775;;;;;0:39:20;0:39:25;2360
0:46:20;0:46:25;2780;;;;;0:39:25;0:39:30;2365
0:46:25;0:46:30;2785;;;;;0:39:30;0:39:35;2370
0:46:30;0:46:35;2790;;;;;0:39:35;0:39:40;2375
0:46:35;0:46:40;2795;;;;;0:39:40;0:39:45;2380
0:46:40;0:46:45;2800;;;;;0:39:45;0:39:50;2385
0:46:45;0:46:50;2805;;;;;0:39:50;0:39:55;2390
0:46:50;0:46:55;2810;;;;;0:39:55;0:40:00;2395
0:46:55;0:47:00;2815;;;;;0:40:00;0:40:05;2400
0:47:00;0:47:05;2820;;;;;0:40:05;0:40:10;2405
0:47:05;0:47:10;2825;;;;;0:40:10;0:40:15;2410
0:47:10;0:47:15;2830;;;;;0:40:15;0:40:20;2415
0:47:15;0:47:20;2835;;;;;0:40:20;0:40:25;2420
0:47:20;0:47:25;2840;;;;;0:40:25;0:40:30;2425
0:47:25;0:47:30;2845;;;;;0:40:30;0:40:35;2430
0:47:30;0:47:35;2850;;;;;0:40:35;0:40:40;2435
0:47:35;0:47:40;2855;;;;;0:40:40;0:40:45;2440
0:47:40;0:47:45;2860;;;;;0:40:45;0:40:50;2445
0:47:45;0:47:50;2865;;;;;0:40:50;0:40:55;2450
0:47:50;0:47:55;2870;;;;;0:40:55;0:41:00;2455
0:47:55;0:48:00;2875;;;;;0:41:00;0:41:05;2460
0:48:00;0:48:05;2880;;;;;0:41:05;0:41:10;2465
0:48:05;0:48:10;2885;;;;;0:41:10;0:41:15;2470
0:48:10;0:48:15;2890;;;;;0:41:15;0:41:20;2475
0:48:15;0:48:20;2895;;;;;0:41:20;0:41:25;2480
0:48:20;0:48:25;2900;;;;;0:41:25;0:41:30;2485
0:48:25;0:48:30;2905;;;;;0:41:30;0:41:35;2490
0:48:30;0:48:35;2910;;;;;0:41:35;0:41:40;2495
0:48:35;0:48:40;2915;;;;;0:41:40;0:41:45;2500
0:48:40;0:48:45;2920;;;;;0:41:45;0:41:50;2505
0:48:45;0:48:50;2925;;;;;0:41:50;0:41:55;2510
0:48:50;0:48:55;2930;;;;;0:41:55;0:42:00;2515
0:48:55;0:49:00;2935;;;;;0:42:00;0:42:05;2520
0:49:00;0:49:05;2940;;;;;0:42:05;0:42:10;2525
0:49:05;0:49:10;2945;;;;;0:42:10;0:42:15;2530
0:49:10;0:49:15;2950;;;;;0:42:15;0:42:20;2535
0:49:15;0:49:20;2955;;;;;0:42:20;0:42:25;2540
0:49:20;0:49:25;2960;;;;;0:42:25;0:42:30;2545
0:49:25;0:49:30;2965;;;;;0:42:30;0:42:35;2550
0:49:30;0:49:35;2970;;;;;0:42:35;0:42:40;2555
0:49:35;0:49:40;2975;;;;;0:42:40;0:42:45;2560
0:49:40;0:49:45;2980;;;;;0:42:45;0:42:50;2565
0:49:45;0:49:50;2985;;;;;0:42:50;0:42:55;2570
0:49:50;0:49:55;2990;;;;;0:42:55;0:43:00;2575
0:49:55;0:50:00;2995;;;;;0:43:00;0:43:05;2580
0:50:00;0:50:05;3000;;;;;0:43:05;0:43:10;2585
0:50:05;0:50:10;3005;;;;;0:43:10;0:43:15;2590
0:50:10;0:50:15;3010;;;;;0:43:15;0:43:20;2595
0:50:15;0:50:20;3015;;;;;0:43:20;0:43:25;2600
0:50:20;0:50:25;3020;;;;;0:43:25;0:43:30;2605
0:50:25;0:50:30;3025;;;;;0:43:30;0:43:35;2610
0:50:30;0:50:35;3030;;;;;0:43:35;0:43:40;2615
0:50:35;0:50:40;3035;;;;;0:43:40;0:43:45;2620
0:50:40;0:50:45;3040;;;;;0:43:45;0:43:50;2625
0:50:45;0:50:50;3045;;;;;0:43:50;0:43:55;2630
0:50:50;0:50:55;3050;;;;;0:43:55;0:44:00;2635
0:50:55;0:51:00;3055;;;;;0:44:00;0:44:05;2640
0:51:00;0:51:05;3060;;;;;0:44:05;0:44:10;2645
0:51:05;0:51:10;3065;;;;;0:44:10;0:44:15;2650
0:51:10;0:51:15;3070;;;;;0:44:15;0:44:20;2655
0:51:15;0:51:20;3075;;;;;0:44:20;0:44:25;2660
0:51:20;0:51:25;3080;;;;;0:44:25;0:44:30;2665
0:51:25;0:51:30;3085;;;;;0:44:30;0:44:35;2670
0:51:30;0:51:35;3090;;;;;0:44:35;0:44:40;2675
0:51:35;0:51:40;3095;;;;;0:44:40;0:44:45;2680
0:51:40;0:51:45;3100;;;;;0:44:45;0:44:50;2685
0:51:45;0:51:50;3105;;;;;0:44:50;0:44:55;2690
0:51:50;0:51:55;3110;;;;;0:44:55;0:45:00;2695
0:51:55;0:52:00;3115;;;;;0:45:00;0:45:05;2700
0:52:00;0:52:05;3120;;;;;0:45:05;0:45:10;2705
0:52:05;0:52:10;3125;;;;;0:45:10;0:45:15;2710
0:52:10;0:52:15;3130;;;;;0:45:15;0:45:20;2715
0:52:15;0:52:20;3135;;;;;0:45:20;0:45:25;2720
0:52:20;0:52:25;3140;;;;;0:45:25;0:45:30;2725
0:52:25;0:52:30;3145;;;;;0:45:30;0:45:35;2730
0:52:30;0:52:35;3150;;;;;0:45:35;0:45:40;2735
0:52:35;0:52:40;3155;;;;;0:45:40;0:45:45;2740
0:52:40;0:52:45;3160;;;;;0:45:45;0:45:50;2745
0:52:45;0:52:50;3165;;;;;0:45:50;0:45:55;2750
0:52:50;0:52:55;3170;;;;;0:45:55;0:46:00;2755
0:52:55;0:53:00;3175;;;;;0:46:00;0:46:05;2760
0:53:00;0:53:05;3180;;;;;0:46:05;0:46:10;2765
0:53:05;0:53:10;3185;;;;;0:46:10;0:46:15;2770
0:53:10;0:53:15;3190;;;;;0:46:15;0:46:20;2775
0:53:15;0:53:20;3195;;;;;0:46:20;0:46:25;2780
0:53:20;0:53:25;3200;;;;;0:46:25;0:46:30;2785
0:53:25;0:53:30;3205;;;;;0:46:30;0:46:35;2790
0:53:30;0:53:35;3210;;;;;0:46:35;0:46:40;2795
0:53:35;0:53:40;3215;;;;;0:46:40;0:46:45;2800
0:53:40;0:53:45;3220;;;;;0:46:45;0:46:50;2805
0:53:45;0:53:50;3225;;;;;0:46:50;0:46:55;2810
0:53:50;0:53:55;3230;;;;;0:46:55;0:47:00;2815
0:53:55;0:54:00;3235;;;;;0:47:00;0:47:05;2820
0:54:00;0:54:05;3240;;;;;0:47:05;0:47:10;2825
0:54:05;0:54:10;3245;;;;;0:47:10;0:47:15;2830
0:54:10;0:54:15;3250;;;;;0:47:15;0:47:20;2835
0:54:15;0:54:20;3255;;;;;0:47:20;0:47:25;2840
0:54:20;0:54:25;3260;;;;;0:47:25;0:47:30;2845
0:54:25;0:54:30;3265;;;;;0:47:30;0:47:35;2850
0:54:30;0:54:35;3270;;;;;0:47:35;0:47:40;2855
0:54:35;0:54:40;3275;;;;;0:47:40;0:47:45;2860
0:54:40;0:54:45;3280;;;;;0:47:45;0:47:50;2865
0:54:45;0:54:50;3285;;;;;0:47:50;0:47:55;2870
0:54:50;0:54:55;3290;;;;;0:47:55;0:48:00;2875
0:54:55;0:55:00;3295;;;;;0:48:00;0:48:05;2880
0:55:00;0:55:05;3300;;;;;0:48:05;0:48:10;2885
0:55:05;0:55:10;3305;;;;;0:48:10;0:48:15;2890
0:55:10;0:55:15;3310;;;;;0:48:15;0:48:20;2895
0:55:15;0:55:20;3315;;;;;0:48:20;0:48:25;2900
0:55:20;0:55:25;3320;;;;;0:48:25;0:48:30;2905
0:55:25;0:55:30;3325;;;;;0:48:30;0:48:35;2910
0:55:30;0:55:35;3330;;;;;0:48:35;0:48:40;2915
0:55:35;0:55:40;3335;;;;;0:48:40;0:48:45;2920
0:55:40;0:55:45;3340;;;;;0:48:45;0:48:50;2925
0:55:45;0:55:50;3345;;;;;0:48:50;0:48:55;2930
0:55:50;0:55:55;3350;;;;;0:48:55;0:49:00;2935
0:55:55;0:56:00;3355;;;;;0:49:00;0:49:05;2940
0:56:00;0:56:05;3360;;;;;0:49:05;0:49:10;2945
0:56:05;0:56:10;3365;;;;;0:49:10;0:49:15;2950
0:56:10;0:56:15;3370;;;;;0:49:15;0:49:20;2955
0:56:15;0:56:20;3375;;;;;0:49:20;0:49:25;2960
0:56:20;0:56:25;3380;;;;;0:49:25;0:49:30;2965
0:56:25;0:56:30;3385;;;;;0:49:30;0:49:35;2970
0:56:30;0:56:35;3390;;;;;0:49:35;0:49:40;2975
0:56:35;0:56:40;3395;;;;;0:49:40;0:49:45;2980
0:56:40;0:56:45;3400;;;;;0:49:45;0:49:50;2985
0:56:45;0:56:50;3405;;;;;0:49:50;0:49:55;2990
0:56:50;0:56:55;3410;;;;;0:49:55;0:50:00;2995
0:56:55;0:57:00;3415;;;;;0:50:00;0:50:05;3000
0:57:00;0:57:05;3420;;;;;0:50:05;0:50:10;3005
0:57:05;0:57:10;3425;;;;;0:50:10;0:50:15;3010
0:57:10;0:57:15;3430;;;;;0:50:15;0:50:20;3015
0:57:15;0:57:20;3435;;;;;0:50:20;0:50:25;3020
0:57:20;0:57:25;3440;;;;;0:50:25;0:50:30;3025
0:57:25;0:57:30;3445;;;;;0:50:30;0:50:35;3030
;;;;;;;0:50:35;0:50:40;3035
;;;;;;;0:50:40;0:50:45;3040
;;;;;;;0:50:45;0:50:50;3045
;;;;;;;0:50:50;0:50:55;3050
;;;;;;;0:50:55;0:51:00;3055
;;;;;;;0:51:00;0:51:05;3060
;;;;;;;0:51:05;0:51:10;3065
;;;;;;;0:51:10;0:51:15;3070
;;;;;;;0:51:15;0:51:20;3075
;;;;;;;0:51:20;0:51:25;3080
;;;;;;;0:51:25;0:51:30;3085
;;;;;;;0:51:30;0:51:35;3090
;;;;;;;0:51:35;0:51:40;3095
;;;;;;;0:51:40;0:51:45;3100
;;;;;;;0:51:45;0:51:50;3105
;;;;;;;0:51:50;0:51:55;3110
;;;;;;;0:51:55;0:52:00;3115
;;;;;;;0:52:00;0:52:05;3120
;;;;;;;0:52:05;0:52:10;3125
;;;;;;;0:52:10;0:52:15;3130
;;;;;;;0:52:15;0:52:20;3135
;;;;;;;0:52:20;0:52:25;3140
;;;;;;;0:52:25;0:52:30;3145
;;;;;;;0:52:30;0:52:35;3150
;;;;;;;0:52:35;0:52:40;3155
;;;;;;;0:52:40;0:52:45;3160
;;;;;;;0:52:45;0:52:50;3165
;;;;;;;0:52:50;0:52:55;3170
;;;;;;;0:52:55;0:53:00;3175
;;;;;;;0:53:00;0:53:05;3180
;;;;;;;0:53:05;0:53:10;3185
;;;;;;;0:53:10;0:53:15;3190
;;;;;;;0:53:15;0:53:20;3195
;;;;;;;0:53:20;0:53:25;3200
;;;;;;;0:53:25;0:53:30;3205
;;;;;;;0:53:30;0:53:35;3210
;;;;;;;0:53:35;0:53:40;3215
;;;;;;;0:53:40;0:53:45;3220
;;;;;;;0:53:45;0:53:50;3225
;;;;;;;0:53:50;0:53:55;3230
;;;;;;;0:53:55;0:54:00;3235
;;;;;;;0:54:00;0:54:05;3240
;;;;;;;0:54:05;0:54:10;3245
;;;;;;;0:54:10;0:54:15;3250
;;;;;;;0:54:15;0:54:20;3255
;;;;;;;0:54:20;0:54:25;3260
;;;;;;;0:54:25;0:54:30;3265
;;;;;;;0:54:30;0:54:35;3270
;;;;;;;0:54:35;0:54:40;3275
;;;;;;;0:54:40;0:54:45;3280
;;;;;;;0:54:45;0:54:50;3285
;;;;;;;0:54:50;0:54:55;3290
;;;;;;;0:54:55;0:55:00;3295
;;;;;;;0:55:00;0:55:05;3300
;;;;;;;0:55:05;0:55:10;3305
;;;;;;;0:55:10;0:55:15;3310
;;;;;;;0:55:15;0:55:20;3315
;;;;;;;0:55:20;0:55:25;3320
;;;;;;;0:55:25;0:55:30;3325
;;;;;;;0:55:30;0:55:35;3330
;;;;;;;0:55:35;0:55:40;3335
;;;;;;;0:55:40;0:55:45;3340
;;;;;;;0:55:45;0:55:50;3345
;;;;;;;0:55:50;0:55:55;3350
;;;;;;;0:55:55;0:56:00;3355
;;;;;;;0:56:00;0:56:05;3360
;;;;;;;0:56:05;0:56:10;3365
;;;;;;;0:56:10;0:56:15;3370
;;;;;;;0:56:15;0:56:20;3375
;;;;;;;0:56:20;0:56:25;3380
;;;;;;;0:56:25;0:56:30;3385
;;;;;;;0:56:30;0:56:35;3390
;;;;;;;0:56:35;0:56:40;3395
;;;;;;;0:56:40;0:56:45;3400
;;;;;;;0:56:45;0:56:50;3405
;;;;;;;0:56:50;0:56:55;3410
;;;;;;;0:56:55;0:57:00;3415
;;;;;;;0:57:00;0:57:05;3420
;;;;;;;0:57:05;0:57:10;3425
;;;;;;;0:57:10;0:57:15;3430
;;;;;;;0:57:15;0:57:20;3435
;;;;;;;0:57:20;0:57:25;3440
;;;;;;;0:57:25;0:57:30;3445
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
